Mix,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Strength (output)
M1,407.00,-,658.02,1159.35,-,-,175,7,1.98
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,7,3.72
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,7,4.9
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,7,4.61
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,7,4.29
M6,407.00,-,655.61,866.33,250.45,2.28,175,7,3.48
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,7,4.92
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,7,4.68
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,7,5.45
M10,203.50,203.50,650.74,859.89,248.59,-,175,7,4.52
M11,407.00,-,653.20,575.43,499.06,4.55,175,7,3.42
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,7,5.26
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,7,4.48
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,7,5.35
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,7,4.8
M16,407.00,-,650.79,286.66,745.84,6.83,175,7,3.8
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,7,3.95
M18,305.25,101.75,654.38,288.23,749.94,-,175,7,5.18
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,7,4.71
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,7,4.81
M21,407.00,-,648.39,-,990.78,9.10,175,7,2.62
M22,356.13,50.88,656.19,-,1002.70,0.00,175,7,3.42
M23,305.25,101.75,651.97,-,996.25,2.28,175,7,4.97
M24,254.38,152.63,647.74,-,989.79,4.55,175,7,4.94
M25,203.50,203.50,643.52,-,983.33,6.83,175,7,5.31
M1,407.00,-,658.02,1159.35,-,-,175,7,3.55
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,7,4.29
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,7,4.19
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,7,4.4
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,7,4.29
M6,407.00,-,655.61,866.33,250.45,2.28,175,7,3.68
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,7,5.08
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,7,5.54
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,7,5.02
M10,203.50,203.50,650.74,859.89,248.59,-,175,7,5.39
M11,407.00,-,653.20,575.43,499.06,4.55,175,7,3.9
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,7,4.54
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,7,4.91
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,7,4.85
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,7,5.36
M16,407.00,-,650.79,286.66,745.84,6.83,175,7,3.87
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,7,5.52
M18,305.25,101.75,654.38,288.23,749.94,-,175,7,5.17
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,7,5.22
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,7,5.22
M21,407.00,-,648.39,-,990.78,9.10,175,7,3.38
M22,356.13,50.88,656.19,-,1002.70,0.00,175,7,3.95
M23,305.25,101.75,651.97,-,996.25,2.28,175,7,4.57
M24,254.38,152.63,647.74,-,989.79,4.55,175,7,5.96
M25,203.50,203.50,643.52,-,983.33,6.83,175,7,4.65
M1,407.00,-,658.02,1159.35,-,-,175,7,2.39
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,7,4.1
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,7,4.65
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,7,4.89
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,7,5.04
M6,407.00,-,655.61,866.33,250.45,2.28,175,7,3.92
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,7,4.89
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,7,4.93
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,7,5.37
M10,203.50,203.50,650.74,859.89,248.59,-,175,7,5.26
M11,407.00,-,653.20,575.43,499.06,4.55,175,7,3.05
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,7,4.52
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,7,4.98
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,7,5.95
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,7,5.84
M16,407.00,-,650.79,286.66,745.84,6.83,175,7,3.02
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,7,5.16
M18,305.25,101.75,654.38,288.23,749.94,-,175,7,4.79
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,7,4.63
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,7,4.39
M21,407.00,-,648.39,-,990.78,9.10,175,7,3.31
M22,356.13,50.88,656.19,-,1002.70,0.00,175,7,4.71
M23,305.25,101.75,651.97,-,996.25,2.28,175,7,4.2
M24,254.38,152.63,647.74,-,989.79,4.55,175,7,5.31
M25,203.50,203.50,643.52,-,983.33,6.83,175,7,5.19
M1,407.00,-,658.02,1159.35,-,-,175,28,5.80
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,6.30
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,6.51
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,7.12
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,7.32
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,5.29
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,5.69
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,6.40
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,6.61
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,6.61
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,5.27
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,5.48
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,5.39
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,5.89
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,5.90
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,4.66
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,28,4.67
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,5.28
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,5.68
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,5.29
M21,407.00,-,648.39,-,990.78,9.10,175,28,3.85
M22,356.13,50.88,656.19,-,1002.70,0.00,175,28,4.56
M23,305.25,101.75,651.97,-,996.25,2.28,175,28,4.76
M24,254.38,152.63,647.74,-,989.79,4.55,175,28,4.97
M25,203.50,203.50,643.52,-,983.33,6.83,175,28,5.27
M1,407.00,-,658.02,1159.35,-,-,175,28,5.66
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,6.16
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,6.37
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,6.98
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,7.18
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,5.15
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,5.55
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,6.26
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,6.47
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,6.47
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,5.13
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,5.34
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,5.25
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,5.75
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,5.76
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,4.52
