MIX,Cement ,GGBS ,FA ,NCA,RCA,PPF,Water ,Curing_Days,Split_Tensile_Strength
M1,407.00,-,658.02,1159.35,-,-,175,7,0.75
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,7,1.5
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,7,2.27
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,7,2.49
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,7,2.33
M6,407.00,-,655.61,866.33,250.45,2.28,175,7,1.8
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,7,2.06
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,7,2.85
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,7,3.11
M10,203.50,203.50,650.74,859.89,248.59,-,175,7,3.08
M11,407.00,-,653.20,575.43,499.06,4.55,175,7,1.77
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,7,2.17
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,7,2.74
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,7,2.81
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,7,2.93
M16,407.00,-,650.79,286.66,745.84,6.83,175,7,1.47
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,7,2.1
M18,305.25,101.75,654.38,288.23,749.94,-,175,7,2.69
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,7,2.74
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,7,2.66
M21,407.00,-,648.39,-,990.78,9.10,175,7,1.28
M22,356.13,50.88,656.19,-,1002.70,0.00,175,7,1.91
M23,305.25,101.75,651.97,-,996.25,2.28,175,7,2.28
M24,254.38,152.63,647.74,-,989.79,4.55,175,7,2.68
M25,203.50,203.50,643.52,-,983.33,6.83,175,7,2.76
M1,407.00,-,658.02,1159.35,-,-,175,7,0.69
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,7,1.63
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,7,1.99
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,7,2.5
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,7,2.29
M6,407.00,-,655.61,866.33,250.45,2.28,175,7,1.53
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,7,2.18
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,7,2.66
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,7,3.02
M10,203.50,203.50,650.74,859.89,248.59,-,175,7,2.99
M11,407.00,-,653.20,575.43,499.06,4.55,175,7,1.71
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,7,2.08
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,7,2.53
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,7,2.95
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,7,2.75
M16,407.00,-,650.79,286.66,745.84,6.83,175,7,1.58
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,7,2.24
M18,305.25,101.75,654.38,288.23,749.94,-,175,7,2.56
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,7,2.79
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,7,2.87
M21,407.00,-,648.39,-,990.78,9.10,175,7,1.28
M22,356.13,50.88,656.19,-,1002.70,0.00,175,7,1.89
M23,305.25,101.75,651.97,-,996.25,2.28,175,7,2.24
M24,254.38,152.63,647.74,-,989.79,4.55,175,7,2.42
M25,203.50,203.50,643.52,-,983.33,6.83,175,7,2.51
M1,407.00,-,658.02,1159.35,-,-,175,7,0.63
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,7,1.82
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,7,2.28
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,7,2.33
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,7,2.43
M6,407.00,-,655.61,866.33,250.45,2.28,175,7,1.68
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,7,2.51
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,7,2.8
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,7,2.78
M10,203.50,203.50,650.74,859.89,248.59,-,175,7,2.73
M11,407.00,-,653.20,575.43,499.06,4.55,175,7,1.53
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,7,2.2
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,7,2.68
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,7,2.79
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,7,2.9
M16,407.00,-,650.79,286.66,745.84,6.83,175,7,1.51
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,7,1.98
M18,305.25,101.75,654.38,288.23,749.94,-,175,7,2.57
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,7,2.94
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,7,2.8
M21,407.00,-,648.39,-,990.78,9.10,175,7,1.49
M22,356.13,50.88,656.19,-,1002.70,0.00,175,7,1.89
M23,305.25,101.75,651.97,-,996.25,2.28,175,7,2.51
M24,254.38,152.63,647.74,-,989.79,4.55,175,7,2.7
M25,203.50,203.50,643.52,-,983.33,6.83,175,7,2.68
M1,407.00,-,658.02,1159.35,-,-,175,28,2.1
M2,356.13,50.88,653.79,1151.90,0.00,2.28,175,28,3.41
M3,305.25,101.75,649.56,1144.45,0.00,4.55,175,28,4.04
M4,254.38,152.63,645.34,1137.01,0.00,6.83,175,28,4.33
M5,203.50,203.50,641.11,1129.56,0.00,9.10,175,28,4.41
M6,407.00,-,655.61,866.33,250.45,2.28,175,28,3.29
M7,356.13,50.88,651.38,860.74,248.84,4.55,175,28,4.28
M8,305.25,101.75,647.16,855.16,247.22,6.83,175,28,4.69
M9,254.38,152.63,642.93,849.57,245.61,9.10,175,28,4.74
M10,203.50,203.50,650.74,859.89,248.59,-,175,28,4.77
M11,407.00,-,653.20,575.43,499.06,4.55,175,28,3.12
M12,356.13,50.88,648.97,571.71,495.84,6.83,175,28,3.76
M13,305.25,101.75,644.75,567.99,492.61,9.10,175,28,4.25
M14,254.38,152.63,652.56,574.86,498.57,0.00,175,28,4.76
M15,203.50,203.50,626.67,552.06,478.80,2.28,175,28,4.71
M16,407.00,-,650.79,286.66,745.84,6.83,175,28,2.86
M17,356.13,50.88,646.57,284.79,741.00,9.10,175,28,3.69
M18,305.25,101.75,654.38,288.23,749.94,-,175,28,4.26
M19,254.38,152.63,650.15,286.37,745.10,2.28,175,28,4.48
M20,203.50,203.50,645.92,284.51,740.26,4.55,175,28,4.39
M21,407.00,-,648.39,-,990.78,9.10,175,28,2.65
